mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	staff_text	slur	crescendo_hairpin
6	6	11	11	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	88				
7	7	12	12	0.0	0	0	Dynamic	2/4	1	1	0				pp			
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	89			3	
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	90			3	
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	91			3	
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	92			3	
7	7	12	12	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	93				
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	94				
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	95				
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	96				
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	97				
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	98				
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16	1/16	1	99				
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	100				
7	7	12	12	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	101				
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	102				
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	103			3	
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	104			3	
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	105			3	
8	8	14	14	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	106				
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	107				
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	108				
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	109				
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	110				
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	111				
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16	1/16	1	112				
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	113				
8	8	14	14	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	114				
8	8	15	15	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	115				
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0				p			
9	9	16	16	0.0	0	0	StaffText	2/4	1	1	0					ritardando		
9	9	16	16	0.0	0	0	Spanner	2/4	1	1	0							0
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	116			4	0
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	117			4	0
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	118			4	0
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	119			4	0
9	9	16	16	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	120				0
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	121				0
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	122				0
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	123				0
9	9	16	16	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	124			5	
9	9	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	125			5	
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	126			5	
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	127			5	
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	128			5	
9	9	17	17	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	129				
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	130				
10	10	18	18	0.0	0	0	Spanner	2/4	1	1	0						4	
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	131			4	
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	132			4	
10	10	19	19	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	133			4	
10	10	18	18	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	134				
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	135				
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	136				
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	137				
10	10	19	19	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	138				
10	10	77/4	77/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	139				
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16	1/16	1	140				
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	141				
10	10	18	18	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	142			5	
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	143				
11	11	20	20	0.0	0	0	Dynamic	2/4	1	1	0				pp			
11	11	20	20	0.0	0	0	StaffText	2/4	1	1	0					ritardando		
11	11	20	20	0.0	0	0	Spanner	2/4	1	1	0							1
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	144			6	1
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	145			6	1
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	146			6	1
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	147			6	1
11	11	20	20	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	148				1
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	149				1
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	150				1
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	151				1
11	11	20	20	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	152			7	
11	11	21	21	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	153			7	
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	154			7	
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	155			7	
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	156			7	
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	157				
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	158				
12	12	22	22	0.0	0	0	Spanner	2/4	1	1	0						6	
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	159			6	
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	160			6	
12	12	23	23	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	161			6	
12	12	22	22	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	162				
12	12	89/4	89/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	163				
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	164				
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	165				
12	12	23	23	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	166				
12	12	93/4	93/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	167				
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16	1/16	1	168				
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	169				
12	12	22	22	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	170			7	
12	12	23	23	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	171				
13	13	24	24	0.0	0	0	Dynamic	2/4	1	1	0				p			
13	13	24	24	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	172			8	
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	173			8	
13	13	25	25	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	174			8	
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	175			8	
13	13	24	24	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	176				
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	177				
13	13	25	25	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	178				
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	179				
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	180				
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	181				
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	182				
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	183				
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	184				
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	185				
13	13	24	24	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	186				
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	187				
14	14	26	26	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	188			8	
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	189			8	
14	14	27	27	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	190			8	
14	14	26	26	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	191				
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	192				
14	14	27	27	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	193				
14	14	109/4	109/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	194				
14	14	26	26	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	195				
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	196				
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	197				
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	198				
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	199				
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	200				
14	14	26	26	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	201				
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	202				
15	15	28	28	0.0	0	0	Dynamic	2/4	1	1	0				pp			
15	15	28	28	0.0	0	0	StaffText	2/4	1	1	0					ritardando		
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	203			9	
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	204			9	
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	205			9	
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	206			9	
15	15	28	28	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	207				
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	208				
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	209				
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	210				
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	211				
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	212				
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	213				
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	214				
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	215				
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	216				
15	15	28	28	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	217				
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	218				
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	219			9	
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	220			9	
16	16	31	31	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	221			9	
16	16	30	30	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	222				
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	223				
16	16	31	31	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	224				
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	225				
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	226				
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	227				
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	228				
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	229				
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	230				
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	231				
16	16	30	30	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	232				
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	233				
17	17	32	32	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	234				
17	17	32	32	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	235				
17	17	32	32	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	236				
17	17	32	32	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	237				
